intent,dwell_time_min
Loiter/Eat,21.077867736521984
Loiter/Eat,22.021537623093536
Loiter/Eat,23.08712191179548
Study,164.95249439040757
Loiter/Eat,22.853651505569868
Loiter/Eat,80.71324710514848
Loiter/Eat,26.72918693239627
Loiter/Eat,42.511227110378705
Loiter/Eat,37.393457419887774
Loiter/Eat,24.548534666474865
Loiter/Eat,18.641501001705237
Study,125.62056029066943
Study,134.8981242368531
Study,87.48312753004909
Loiter/Eat,27.168148003913174
Study,180.36135334415988
Study,251.7557726487745
Study,154.81457243967253
Loiter/Eat,63.45022041920748
Loiter/Eat,18.250431421164834
Study,145.6539010268778
Loiter/Eat,48.81978100344339
Loiter/Eat,15.969955222662623
Loiter/Eat,19.61080654916624
Loiter/Eat,59.61028973832752
Study,74.47331128945689
Loiter/Eat,12.785488393735356
Loiter/Eat,53.670666880686234
Study,177.5381749238208
Loiter/Eat,31.02942496977382
Loiter/Eat,24.43509570776157
Loiter/Eat,20.07777681010413
Study,123.13236504357424
Loiter/Eat,55.079594045841375
Study,121.01406956687619
Loiter/Eat,73.87359511515406
Loiter/Eat,15.95711533154586
Loiter/Eat,24.755197023122818
Loiter/Eat,20.74585548441933
Study,71.26631308543503
Study,103.46639485466872
Loiter/Eat,30.800794210381465
Loiter/Eat,32.49190283787205
Study,262.08299734892626
Loiter/Eat,31.535363273131413
Loiter/Eat,44.43130225172956
Study,112.94693021861983
Loiter/Eat,57.852902491471426
Study,287.10846753663515
Loiter/Eat,32.60345910816842
Study,73.95203886325146
Loiter/Eat,19.000652363149502
Loiter/Eat,28.784670653787646
Loiter/Eat,31.409953794132626
Loiter/Eat,35.44876420200642
Loiter/Eat,31.46811042191631
Loiter/Eat,25.08746409664498
Loiter/Eat,18.18826497025
Study,129.14498271763023
Loiter/Eat,63.20412092954724
Loiter/Eat,41.63079374076619
Loiter/Eat,32.66250551472288
Loiter/Eat,41.83190336374684
Loiter/Eat,20.766556049001714
Loiter/Eat,19.389724326030386
Study,81.56223300795943
Loiter/Eat,23.481961096826616
Loiter/Eat,20.244291984593733
Study,178.35755332673853
Study,90.95373755384902
Loiter/Eat,16.7352113994024
Study,239.25052802332422
